pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_age,sy_dist,sy_pnum
"TOI-3894 b","TOI-3894","Transit",2024,4.33454000000,0.0535400000,15.27784069,260.61929374,0.400000,1531.00,,0.050000,,6000.00,1.502000,1.138000,5.7000,417.36500000,1
"TOI-4137 b","TOI-4137","Transit",2022,3.80161220000,0.0522200000,13.57407563,457.67290608,1.010000,1570.00,1013.0000,0.000000,,6202.00,1.438000,1.313000,2.1000,334.99300000,1
"TOI-4914 b","TOI-4914","Transit",2024,10.60057000000,0.0980000000,12.87000000,227.00000000,0.590000,894.00,,0.408000,,5805.00,1.000000,1.030000,5.3000,299.89000000,1
"TOI-5027 b","TOI-5027","Transit",2025,10.24368000000,0.0930000000,10.76062147,642.01338214,2.940000,1056.00,,0.385000,,5909.00,0.920000,1.020000,0.4000,204.42900000,1
"TOI-5789 c","TOI-5789","Transit",2026,12.92774800000,0.1009000000,2.86000000,5.00000000,1.160000,718.00,,0.067000,"K1 V",5185.00,0.833000,0.821000,9.4000,20.45810000,4
"TOI-5800 b","TOI-5800","Transit",2025,2.62788380000,0.0344000000,2.46000000,9.50000000,3.460000,1108.00,,0.300000,"K3 V",4850.00,0.773000,0.778000,8.1000,42.90520000,1
"TOI-6034 b","TOI-6034","Transit",2024,2.57618400000,0.0294900000,11.92000000,254.00000000,0.820000,714.00,43.0000,0.040000,,3635.00,0.489000,0.514000,7.8000,117.99200000,1
"TOI-7149 b","TOI-7149","Transit",2025,2.65206166000,0.0260300000,13.20000000,224.00000000,0.530000,593.00,20.6000,0.078000,"M4 V",3363.00,0.351000,0.344000,7.8000,126.12600000,1
"TOI-7510 c","TOI-7510","Transit",2025,22.56874230000,0.1595000000,10.81000000,131.00000000,0.573000,702.00,,0.009100,"G3",5720.00,1.035000,1.063000,,249.00600000,3
"TOI-880.02","TOI-880","Transit",2024,2.57571000000,0.0349000000,2.19000000,,,1085.00,,,"K",5050.00,0.830000,0.870000,5.2000,60.66790000,2
"WASP-147 b","WASP-147","Transit",2018,4.60273000000,0.0549000000,12.49803500,87.40325000,0.263000,1404.00,,0.000000,"G4",5702.00,1.429000,1.044000,8.4700,436.09800000,1
"WASP-160 B b","WASP-160 B","Transit",2018,3.76849520000,0.0452000000,12.21781000,88.35674000,0.284000,1119.00,,0.000000,"K0 V",5298.00,0.868000,0.870000,9.7500,288.32600000,1
"WASP-195 b","WASP-195","Transit",2025,5.05192800000,0.0630000000,10.31226224,33.05415433,0.160000,1522.00,890.0000,0.000000,,6300.00,1.578000,1.300000,0.6000,484.85200000,1
"WASP-46 b","WASP-46","Transit",2011,1.43036763000,0.0233500000,13.15936600,607.05530000,1.467000,1636.00,,,"G6 V",5600.00,0.858000,0.828000,9.6000,375.31000000,1
"WASP-89 b","WASP-89","Transit",2015,3.35642270000,0.0427000000,11.65736000,1875.19700000,7.000000,1120.00,,0.193000,"K3",5130.00,0.880000,0.920000,1.3000,290.94600000,1
"WASP-93 b","WASP-93","Transit",2016,2.73253210000,0.0421100000,17.90077300,467.21010000,0.479000,1942.00,,0.000000,"F4",6700.00,1.524000,1.334000,0.7000,370.28400000,1
"WTS-2 b","WTS-2","Transit",2014,1.01870680000,0.0185500000,15.27786700,355.96960000,0.540000,2000.00,,0.000000,"K2 V",5000.00,0.752000,0.820000,0.6000,,1
"YZ Cet d","YZ Cet","Radial Velocity",2017,4.65626000000,0.0285100000,,1.09000000,,356.70,2.7000,0.070000,"M4.5 V",3151.00,0.157000,0.142000,3.8000,3.71207000,3
"bet Pic d","bet Pic","Imaging",2026,33200.00000000000,26.0000000000,14.12331568,762.78817680,,600.00,,0.440000,"A6 V",,,1.789000,0.0230,19.74420000,3
